Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Disease	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation	BC --> Cell ID _OR_ BC --> Cluster ID	Number individuals
Nakamura et al NAR	10.1093/nar/gkv134	Tomonori Nakamura, Yukihiro Yabuta, Ikuhiro Okamoto, Shinya Aramaki, Shihori Yokobayashi, Kazuki Kurimoto, Kiyotoshi Sekiguchi, Masato Nakagawa, Takuya Yamamoto, Mitinori Saitou	Nucleic Acids Research	SC3-seq: a method for highly parallel and quantitative measurement of single-cell gene expression	20150227	-	98	Human, Mouse	Culture	SC3-seq	GSE63266	""	RNA-seq	Blastocyst cells, hiPSCs	""	""	""		""	""	""	""	""	""	""	""	
Padovan-Merhar et al MCell	10.1016/j.molcel.2015.03.005	Olivia Padovan-Merhar, Gautham P. Nair, Andrew G. Biaesch, Andreas Mayer, Steven Scarfone, Shawn W. Foley, Angela R. Wu, L. Stirling Churchman, Abhyudai Singh, Arjun Raj	Molecular Cell	Single Mammalian Cells Compensate for Differences in Cellular Volume and DNA Copy Number through Independent Global Transcriptional Mechanisms	20150411	-	98	Human	Culture	SMARTer (C1)	GSE66053	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Satija et al NBT	10.1038/nbt.3192	Rahul Satija, Jeffrey A Farrell, David Gennert, Alexander F Schier, Aviv Regev	Nat Biotechnol	Spatial reconstruction of single-cell gene expression data	20150413	-	851	Zebrafish	Embryo	STRT-seq	GSE66688	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Achim et al NBT	10.1038/nbt.3209	Kaia Achim, Jean-Baptiste Pettit, Luis R Saraiva, Daria Gavriouchkina, Tomas Larsson, Detlev Arendt, John C Marioni	Nat Biotechnol	High-throughput spatial mapping of single-cell RNA-seq data to tissue of origin	20150413	-	213	Platynereis dumerilii	""	SMARTer (C1)	E-MTAB-2865	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Darmanis et al PNAS	10.1073/pnas.1507125112	Spyros Darmanis, Steven A. Sloan, Ye Zhang, Martin Enge, Christine Caneda, Lawrence M. Shuer, Melanie G. Hayden Gephart, Ben A. Barres, Stephen R. Quake	Proc Natl Acad Sci USA	A survey of human brain transcriptome diversity at the single cell level	20150519	-	466	Human	Brain	SMARTer (C1)	GSE67835	""	RNA-seq	Cerebral cortex, adult temporal lobe, neural cells	""	""	GW16 - GW18, 21Y, 22Y, 37Y, 47Y, 54Y, 63Y	10	Yes	No	""	Yes	No	""	IFC Capture	""	
Luo et al Cell	10.1016/j.cell.2015.04.001	Yuping Luo, Volkan Coskun, Aibing Liang, Juehua Yu, Liming Cheng, Weihong Ge, Zhanping Shi, Kunshan Zhang, Chun Li, Yaru Cui, Haijun Lin, Dandan Luo, Junbang Wang, Connie Lin, Zachary Dai, Hongwen Zhu, Jun Zhang, Jie Liu, Hailiang Liu, Jean deVellis, Steve Horvath, Yi Eve Sun, Siguang Li	Cell	Single-Cell Transcriptome Analyses Reveal Signals to Activate Dormant Neural Stem Cells	20150521	""	28	Mouse	Mouse	""	GSE61288	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Macosko et al Cell	10.1016/j.cell.2015.05.002	Evan Z. Macosko, Anindita Basu, Rahul Satija, James Nemesh, Karthik Shekhar, Melissa Goldman, Itay Tirosh, Allison R. Bialas, Nolan Kamitaki, Emily M. Martersteck, John J. Trombetta, David A. Weitz, Joshua R. Sanes, Alex K. Shalek, Aviv Regev, Steven A. McCarroll	Cell	Highly Parallel Genome-wide Expression Profiling of Individual Cells Using Nanoliter Droplets	20150521	-	44,808	Human, Mouse	Eye	Drop-seq	GSE63473	""	RNA-seq	Retina	""	""	""	39	Yes	No	No	Yes	Yes	""	Nanodroplet dilution	SCP301	
Klein et al Cell	10.1016/j.cell.2015.04.044	Allon M. Klein, Linas Mazutis, Ilke Akartuna, Naren Tallapragada, Adrian Veres, Victor Li, Leonid Peshkin, David A. Weitz, Marc W. Kirschner	Cell	Droplet Barcoding for Single-Cell Transcriptomics Applied to Embryonic Stem Cells	20150521	-	9,000	Human, Mouse	Culture	InDrops	GSE65525	""	RNA-seq	mESCs, K562 cells	""	""	""		""	""	""	""	""	""	Nanodroplet dilution	""	
Wilson et al CSC	10.1016/j.stem.2015.04.004	Nicola K. Wilson, David G. Kent, Florian Buettner, Mona Shehata, Iain C. Macaulay, Fernando J. Calero-Nieto, Manuel Sánchez Castillo, Caroline A. Oedekoven, Evangelia Diamanti, Reiner Schulte, Chris P. Ponting, Thierry Voet, Carlos Caldas, John Stingl, Anthony R. Green, Fabian J. Theis, Berthold Göttgens	Cell Stem Cell	Combined Single-Cell Functional and Gene Expression Analysis Resolves Heterogeneity within Stem Cell Populations	20150521	-	92	Mouse	Bone marrow	Smart-seq2	GSE61533	""	RNA-seq	HSC	""	""	""		""	""	""	""	""	""	""	""	
Rotem et al PLoSOne	10.1371/journal.pone.0116328	Assaf Rotem, Oren Ram, Noam Shoresh, Ralph A. Sperling, Michael Schnall-Levin, Huidan Zhang, Anindita Basu, Bradley E. Bernstein, David A. Weitz	PLoS ONE	High-Throughput Single-Cell Labeling (Hi-SCL) for RNA-Seq Using Drop-Based Microfluidics	20150522	""	1,300	Human, Mouse	Culture, Skin	Hi-SCL	GSE62050	""	RNA-seq	mESCs, mEFs, K562	""	""	""		""	""	""	""	""	""	""	""	
Waldhaus et al CReports	10.1016/j.celrep.2015.04.062	Jörg Waldhaus, Robert Durruthy-Durruthy, Stefan Heller	Cell Reports	Quantitative High-Resolution Cellular Map of the Organ of Corti	20150529	""	808	Mouse	Ear	BioMark	""	192	qPCR	Organ of corti (cochlea)	""	""	P2		""	""	""	""	""	""	""	""	
Velten et al MSB	10.15252/msb.20156198	L. Velten, S. Anders, A. Pekowska, A. I. Jarvelin, W. Huber, V. Pelechano, L. M. Steinmetz	Molecular Systems Biology	Single-cell polyadenylation site mapping reveals 3' isoform choice variability	20150604	-	195	Mouse	Culture	BAT-Seq	GSE60768	""	RNA-seq	mESCs	""	""	""		""	""	""	""	""	""	""	""	
Guo et al Cell	10.1016/j.cell.2015.05.015	Fan Guo, Liying Yan, Hongshan Guo, Lin Li, Boqiang Hu, Yangyu Zhao, Jun Yong, Yuqiong Hu, Xiaoye Wang, Yuan Wei, Wei Wang, Rong Li, Jie Yan, Xu Zhi, Yan Zhang, Hongyan Jin, Wenxin Zhang, Yu Hou, Ping Zhu, Jingyun Li, Ling Zhang, Sirui Liu, Yixin Ren, Xiaohui Zhu, Lu Wen, Yi Qin Gao, Fuchou Tang, Jie Qiao	Cell	The Transcriptome and DNA Methylome Landscapes of Human Primordial Germ Cells	20150604	-	364	Human	Gonad	Tang	GSE63818	""	RNA-seq	PGCs	""	""	GW4, GW7, GW8, GW10, GW11, GW17, GW19		""	""	""	""	""	""	""	""	15
Schlitzer et al NImmunology	10.1038/ni.3200	Andreas Schlitzer, V Sivakamasundari, Jinmiao Chen, Hermi Rizal Bin Sumatoh, Jaring Schreuder, Josephine Lum, Benoit Malleret, Sanqian Zhang, Anis Larbi, Francesca Zolezzi, Laurent Renia, Michael Poidinger, Shalin Naik, Evan W Newell, Paul Robson, Florent Ginhoux	Nat Immunol	Identification of cDC1- and cDC2-committed DC progenitors reveals early lineage priming at the common DC progenitor stage in the bone marrow	20150609	-	251	Mouse	""	SMARTer (C1)	GSE60781	""	RNA-seq	DCs	""	""	""		""	""	""	""	""	""	""	""	
Kim et al GBiology	10.1186/s13059-015-0692-3	Kyu-Tae Kim, Hye Won Lee, Hae-Ock Lee, Sang Cheol Kim, Yun Jee Seo, Woosung Chung, Hye Hyeon Eum, Do-Hyun Nam, Junhyong Kim, Kyeung Min Joo, Woong-Yang Park	Genome Biol	Single-cell mRNA sequencing identifies subclonal heterogeneity in anti-cancer drug responses of lung adenocarcinoma cells	20150618	-	208	Human	Lung, Tumor	SMARTer (C1)	GSE69405	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Dueck et al GB	10.1186/s13059-015-0683-4	Hannah Dueck, Mugdha Khaladkar, Tae Kim, Jennifer Spaethling, Chantal Francis, Sangita Suresh, Stephen Fisher, Patrick Seale, Sheryl Beck, Tamas Bartfai, Bernhard Kuhn, James Eberwine, Junhyong Kim	Genome Biol	Deep sequencing reveals cell-type-specific patterns of single-cell transcriptome variation	20150618	-	139	Rat, Mouse	""	aRNA amplification	GSE56638	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Bose et al GB	10.1186/s13059-015-0684-3	Sayantan Bose, Zhenmao Wan, Ambrose Carr, Abbas Rizvi, Gregory Vieira, Dana Pe’er, Peter Sims	Genome Biol	Scalable microfluidics for single-cell RNA printing and sequencing	20150618	-	400	Human	Culture	Bose	GSE66357	""	RNA-seq	U87 human glioma cells	""	""	""		""	""	""	""	""	""	Picowell deposition	""	
Rothwell et al BMCGenomics	10.1186/1471-2164-15-1129	Dominic G Rothwell, Yaoyong Li, Mahmood Ayub, Catriona Tate, Gillian Newton, Yvonne Hey, Louise Carter, Suzanne Faulkner, Massimo Moro, Stuart Pepper, Crispin Miller, Fiona Blackhall, Giulia Bertolini, Luca Roz, Caroline Dive, Ged Brady	BMC Genomics	Evaluation and validation of a robust single cell RNA-amplification protocol through transcriptional profiling of enriched lung cancer initiating cells	20150618	-	10	Human	Culture	Rothwell	GSE52716	""	RNA-seq	Epithelial cell line	""	""	""	2	Yes	""	""	""	""	""	""	""	
Du et al Thorax	10.1136/thoraxjnl-2015-207035	Yina Du, Minzhe Guo, Jeffrey A Whitsett, Yan Xu	Thorax	‘LungGENS’: a web-based tool for mapping single-cell gene expression in the developing lung: Figure 1	20150701	-	148	Mouse	Lung	SMARTer (C1)	GSE69761	""	RNA-seq	""	""	""	E16.5		""	""	""	""	""	""	""	""	
Scialdone et al Methods	10.1016/j.ymeth.2015.06.021	Antonio Scialdone, Kedar N. Natarajan, Luis R. Saraiva, Valentina Proserpio, Sarah A. Teichmann, Oliver Stegle, John C. Marioni, Florian Buettner	Methods	Computational assignment of cell-cycle stage from single-cell transcriptome data	20150704	-	96	Mouse	""	SMARTer (C1)	E-MTAB-3707	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Fan et al GBiology	10.1186/s13059-015-0706-1	Xiaoying Fan, Xiannian Zhang, Xinglong Wu, Hongshan Guo, Yuqiong Hu, Fuchou Tang, Yanyi Huang	Genome Biol	Single-cell RNA-seq transcriptome analysis of linear and circular RNAs in mouse preimplantation embryos	20150722	-	118	Mouse	""	SUPeR-seq	GSE53386	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Llorens-Bobadilla et al CSC	10.1016/j.stem.2015.07.002	Enric Llorens-Bobadilla, Sheng Zhao, Avni Baser, Gonzalo Saiz-Castro, Klara Zwadlo, Ana Martin-Villalba	Cell Stem Cell	Single-Cell Transcriptomics Reveals a Population of Dormant Neural Stem Cells that Become Activated upon Brain Injury	20150730	-	272	Mouse	""	Smart-seq2	GSE67833	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Brennecke et al NImmunology	10.1038/ni.3246	Philip Brennecke, Alejandro Reyes, Sheena Pinto, Kristin Rattay, Michelle Nguyen, Rita Küchler, Wolfgang Huber, Bruno Kyewski, Lars M Steinmetz	Nat Immunol	Single-cell transcriptome analysis reveals coordinated ectopic gene-expression patterns in medullary thymic epithelial cells	20150803	-	293	Human, Mouse	Thymus	Smart-seq2	E-MTAB-3346	""	RNA-seq	mTECs	""	""	""		No	No	No	""	No	""	""	""	
Meredith et al NImmunology	10.1038/ni.3247	Matthew Meredith, David Zemmour, Diane Mathis, Christophe Benoist	Nat Immunol	Aire controls gene expression in the thymic epithelium with ordered stochasticity	20150803	-	200	Mouse	""	CEL-seq	GSE70798	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Grun et al Nature	10.1038/nature14966	Dominic Grün, Anna Lyubimova, Lennart Kester, Kay Wiebrands, Onur Basak, Nobuo Sasaki, Hans Clevers, Alexander van Oudenaarden	Nature	Single-cell messenger RNA sequencing reveals rare intestinal cell types	20150818	-	238	Mouse	Organoid	CEL-seq	GSE62270	""	RNA-seq	Intestinal organoids	""	""	""	15	Yes	No	No	No	Yes	""	""	""	
Shin et al CSC	10.1016/j.stem.2015.07.013	Jaehoon Shin, Daniel A. Berg, Yunhua Zhu, Joseph Y. Shin, Juan Song, Michael A. Bonaguidi, Grigori Enikolopov, David W. Nauen, Kimberly M. Christian, Guo-li Ming, Hongjun Song	Cell Stem Cell	Single-Cell RNA-Seq with Waterfall Reveals Molecular Cascades underlying Adult Neurogenesis	20150820	-	173	Mouse	""	SMARTer	GSE71485	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Leng et al NMethods	10.1038/nmeth.3549	Ning Leng, Li-Fang Chu, Chris Barry, Yuan Li, Jeea Choi, Xiaomao Li, Peng Jiang, Ron M Stewart, James A Thomson, Christina Kendziorski	Nat Methods	Oscope identifies oscillatory genes in unsynchronized single-cell RNA-seq experiments	20150824	-	460	Human	Culture	SMARTer (C1)	GSE64016	""	RNA-seq	hESCs	""	H1 and H1-Fucci	""		""	""	""	""	""	""	""	""	
Tsang et al GBiology	10.1186/s13059-015-0739-5	Jason C. H. Tsang, Yong Yu, Shannon Burke, Florian Buettner, Cui Wang, Aleksandra A. Kolodziejczyk, Sarah A. Teichmann, Liming Lu, Pentao Liu	Genome Biol	Single-cell transcriptomic reconstruction reveals cell cycle and multi-lineage differentiation defects in Bcl11a-deficient hematopoietic stem cells	20150827	-	288	Mouse	""	SMARTer (C1)	ERP010829	""	RNA-seq	HSCs	""	""	""		""	""	""	""	""	""	""	""	
Avraham et al Cell	10.1016/j.cell.2015.08.027	Roi Avraham, Nathan Haseley, Douglas Brown, Cristina Penaranda, Humberto B. Jijon, John J. Trombetta, Rahul Satija, Alex K. Shalek, Ramnik J. Xavier, Aviv Regev, Deborah T. Hung	Cell	Pathogen Cell-to-Cell Variability Drives Heterogeneity in Host Immune Responses	20150904	-	288	Mouse	Culture	SMARTer	GSE65528	""	RNA-seq	Bone marrow derived macrophages (BMMs)	""	Bacteria exposure	""		""	""	""	""	""	""	""	""	
Töhönen et al NCommunications	10.1038/ncomms9207	Virpi Töhönen, Shintaro Katayama, Liselotte Vesterlund, Eeva-Mari Jouhilahti, Mona Sheikhi, Elo Madissoon, Giuditta Filippini-Cattaneo, Marisa Jaconi, Anna Johnsson, Thomas R. Bürglin, Sten Linnarsson, Outi Hovatta, Juha Kere	Nat Commun	Novel PRD-like homeodomain transcription factors and retrotransposon elements in early human development	20150911	""	348	Human	Embryo	STRT-seq	PRJEB8994	""	RNA-seq	Preimplantation embryo	""	""	Oocyte, 4-cell, 8-cell		""	""	""	""	""	""	""	""	
Kind et al Cell	10.1016/j.cell.2015.08.040	Jop Kind, Ludo Pagie, Sandra S. de Vries, Leila Nahidiazar, Siddharth S. Dey, Magda Bienko, Ye Zhan, Bryan Lajoie, Carolyn A. de Graaf, Mario Amendola, Geoffrey Fudenberg, Maxim Imakaev, Leonid A. Mirny, Kees Jalink, Job Dekker, Alexander van Oudenaarden, Bas van Steensel	Cell	Genome-wide Maps of Nuclear Lamina Interactions in Single Human Cells	20150912	-	96	Human	Culture	CEL-seq	GSE68596	""	RNA-seq	KMB7 cells	""	""	""		""	""	""	""	""	""	""	""	
Miyamoto et al Science	10.1126/science.aab0917	D. T. Miyamoto, Y. Zheng, B. S. Wittner, R. J. Lee, H. Zhu, K. T. Broderick, R. Desai, D. B. Fox, B. W. Brannigan, J. Trautwein, K. S. Arora, N. Desai, D. M. Dahl, L. V. Sequist, M. R. Smith, R. Kapur, C.-L. Wu, T. Shioda, S. Ramaswamy, D. T. Ting, M. Toner, S. Maheswaran, D. A. Haber	Science	RNA-Seq of single prostate CTCs implicates noncanonical Wnt signaling in antiandrogen resistance	20150918	-	157	Human	Tumor	Tang	GSE67980	""	RNA-seq	Circulating tumor cells	""	""	""		""	""	""	""	""	""	""	""	
Pollen et al Cell	10.1016/j.cell.2015.09.004	Alex A. Pollen, Tomasz J. Nowakowski, Jiadong Chen, Hanna Retallack, Carmen Sandoval-Espinosa, Cory R. Nicholas, Joe Shuga, Siyuan John Liu, Michael C. Oldham, Aaron Diaz, Daniel A. Lim, Anne A. Leyrat, Jay A. West, Arnold R. Kriegstein	Cell	Molecular Identity of Human Outer Radial Glia during Cortical Development	20150924	""	393	Human	Brain	SMARTer (C1)	phs000989.v1.p1	""	RNA-seq	Ventricular zone and outer subventricular zone	""	""	GW16, GW16.5, GW18		""	""	""	""	""	""	""	""	
Kolodziejczyk et al CSC	10.1016/j.stem.2015.09.011	Aleksandra A. Kolodziejczyk, Jong Kyoung Kim, Jason C.H. Tsang, Tomislav Ilicic, Johan Henriksson, Kedar N. Natarajan, Alex C. Tuck, Xuefei Gao, Marc Bühler, Pentao Liu, John C. Marioni, Sarah A. Teichmann	Cell Stem Cell	Single Cell RNA-Sequencing of Pluripotent States Unlocks Modular Transcriptional Variation	20151001	-	869	Mouse	Culture	SMARTer (C1)	E-MTAB-2600	""	RNA-seq	mESCs	""	""	""	4	""	No	No	Yes	No	""	""	""	
Kowalczyk et al GResearch	10.1101/gr.192237.115	Monika S. Kowalczyk, Itay Tirosh, Dirk Heckl, Tata Nageswara Rao, Atray Dixit, Brian J. Haas, Rebekka K. Schneider, Amy J. Wagers, Benjamin L. Ebert, Aviv Regev	Genome Res.	Single-cell RNA-seq reveals changes in cell cycle and differentiation programs upon aging of hematopoietic stem cells	20151002	-	2,089	Mouse	Bone marrow	SMARTer	GSE59114	""	RNA-seq	HSCs	""	Young vs Aged	2-3 months, 22 months		""	""	""	""	""	""	""	""	
Chen et al DCell	10.1016/j.devcel.2015.09.009	Shuang Chen, Eric W. Brunskill, S. Steven Potter, Phillip J. Dexheimer, Nathan Salomonis, Bruce J. Aronow, Christian I. Hong, Tongli Zhang, Raphael Kopan	Developmental Cell	Intrinsic Age-Dependent Changes and Cell-Cell Contacts Regulate Nephron Progenitor Lifespan	20151013	-	91	Mouse	""	SMARTer (C1)	GSE66202	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Burns et al NComms	10.1038/ncomms9557	Joseph C. Burns, Michael C. Kelly, Michael Hoa, Robert J. Morell, Matthew W. Kelley	Nat Commun	Single-cell RNA-Seq resolves cellular complexity in sensory organs from the neonatal inner ear	20151015	-	301	Mouse	Ear	SMARTer (C1)	GSE71982	""	RNA-seq	Utricle and cochlea	""	""	P1		""	""	""	""	""	""	""	""	
Shen et al NComms	10.1038/ncomms9372	Weijun Shen, Brandon Taylor, Qihui Jin, Van Nguyen-Tran, Shelly Meeusen, You-Qing Zhang, Anwesh Kamireddy, Austin Swafford, Andrew F. Powers, John Walker, John Lamb, Badry Bursalaya, Michael DiDonato, George Harb, Minhua Qiu, Christophe M. Filippi, Lisa Deaton, Carolina N. Turk, Wilma L. Suarez-Pinzon, Yahu Liu, Xueshi Hao, Tingting Mo, Shanshan Yan, Jing Li, Ann E. Herman, Bernhard J. Hering, Tom Wu, H. Martin Seidel, Peter McNamara, Richard Glynne, Bryan Laffitte	Nat Commun	Inhibition of DYRK1A and GSK3B induces human β-cell proliferation	20151026	-	170	Rat	""	SMARTer (C1)	GSE68625	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Wu et al Gigascience	10.1186/s13742-015-0091-4	Liang Wu, Xiaolong Zhang, Zhikun Zhao, Ling Wang, Bo Li, Guibo Li, Michael Dean, Qichao Yu, Yanhui Wang, Xinxin Lin, Weijian Rao, Zhanlong Mei, Yang Li, Runze Jiang, Huan Yang, Fuqiang Li, Guoyun Xie, Liqin Xu, Kui Wu, Jie Zhang, Jianghao Chen, Ting Wang, Karsten Kristiansen, Xiuqing Zhang, Yingrui Li, Huanming Yang, Jian Wang, Yong Hou, Xun Xu	GigaSci	Full-length single-cell RNA-seq applied to a viral human cancer: applications to HPV expression and splicing analysis in HeLa S3 cells	20151105	-	37	Human	Culture	MIRALCS	""	""	RNA-seq	HeLa	""	""	""		""	""	""	""	""	""	Sorting	""	
Hanchate et al Science	10.1126/science.aad2456	N. K. Hanchate, K. Kondoh, Z. Lu, D. Kuang, X. Ye, X. Qiu, L. Pachter, C. Trapnell, L. B. Buck	Science	Single-cell transcriptomics reveals receptor transformations during olfactory neurogenesis	20151106	-	93	Mouse	Brain	PCR	GSE75413	""	RNA-seq	Olfactory epithelium, neurons	""	""	P2 - P6		""	""	""	""	""	""	""	""	
Gaublomme et al Cell	10.1016/j.cell.2015.11.009	Jellert T. Gaublomme, Nir Yosef, Youjin Lee, Rona S. Gertner, Li V. Yang, Chuan Wu, Pier Paolo Pandolfi, Tak Mak, Rahul Satija, Alex K. Shalek, Vijay K. Kuchroo, Hongkun Park, Aviv Regev	Cell	Single-Cell Genomics Unveils Critical Regulators of Th17 Cell Pathogenicity	20151119	-	722	Mouse	Spleen, Lymph node, Culture	SMARTer (C1)	GSE74833	""	RNA-seq	Th17 cells	""	EAE pathogenicity	""		""	""	""	""	""	""	""	""	
Paul et al Cell	10.1016/j.cell.2015.11.013	Franziska Paul, Ya’ara Arkin, Amir Giladi, Diego Adhemar Jaitin, Ephraim Kenigsberg, Hadas Keren-Shaul, Deborah Winter, David Lara-Astiaso, Meital Gury, Assaf Weiner, Eyal David, Nadav Cohen, Felicia Kathrine Bratt Lauridsen, Simon Haas, Andreas Schlitzer, Alexander Mildner, Florent Ginhoux, Steffen Jung, Andreas Trumpp, Bo Torben Porse, Amos Tanay, Ido Amit	Cell	Transcriptional Heterogeneity and Lineage Commitment in Myeloid Progenitors	20151125	-	10,260	Mouse	Bone marrow	MARS-seq	GSE72857	""	RNA-seq	Bone marrow	""	""	""	19	Yes	No	No	No	No	""	Sorting (FACS)	""	
Wurtzel et al DCell	10.1016/j.devcel.2015.11.004	Omri Wurtzel, Lauren E. Cote, Amber Poirier, Rahul Satija, Aviv Regev, Peter W. Reddien	Developmental Cell	A Generic and Cell-Type-Specific Wound Response Precedes Regeneration in Planarians	20151207	-	619	Planarian	""	Smart-seq2	PRJNA276084	""	RNA-seq	""	""	""	""	13	""	""	""	""	""	""	""	""	
Camp et al PNAS	10.1073/pnas.1520760112	J. Gray Camp, Farhath Badsha, Marta Florio, Sabina Kanton, Tobias Gerber, Michaela Wilsch-Bräuninger, Eric Lewitus, Alex Sykes, Wulf Hevers, Madeline Lancaster, Juergen A. Knoblich, Robert Lachmann, Svante Pääbo, Wieland B. Huttner, Barbara Treutlein	Proc Natl Acad Sci USA	Human cerebral organoids recapitulate gene expression programs of fetal neocortex development	20151209	-	734	Human	Organoid	SMARTer (C1)	GSE75140	""	RNA-seq	Cerebral organoid	""	""	""		""	""	""	""	""	""	""	""	
Fuzik et al NBT	10.1038/nbt.3443	János Fuzik, Amit Zeisel, Zoltán Máté, Daniela Calvigioni, Yuchio Yanagawa, Gábor Szabó, Sten Linnarsson, Tibor Harkany	Nat Biotechnol	Integration of electrophysiological recordings with single-cell RNA-seq data identifies neuronal subtypes	20151221	""	83	Mouse	Brain	Patch-seq	GSE70844	""	RNA-seq	Somatosensory cortex neurons	""	""	""		""	""	""	""	""	""	""	""	
Li et al EMBOReports	10.15252/embr.201540946	Jin Li, Johanna Klughammer, Matthias Farlik, Thomas Penz, Andreas Spittler, Charlotte Barbieux, Ekaterine Berishvili, Christoph Bock, Stefan Kubicek	EMBO Rep	Single‐cell transcriptomes reveal characteristic features of human pancreatic islet cell types	20151222	""	70	Human	Pancreas	Smart-seq2	GSE73727	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Li et al CReasearch	10.1038/cr.2015.149	Chang-Lin Li, Kai-Cheng Li, Dan Wu, Yan Chen, Hao Luo, Jing-Rong Zhao, Sa-Shuang Wang, Ming-Ming Sun, Ying-Jin Lu, Yan-Qing Zhong, Xu-Ye Hu, Rui Hou, Bei-Bei Zhou, Lan Bao, Hua-Sheng Xiao, Xu Zhang	Cell Res	Somatosensory neuron types identified by high-coverage single-cell RNA-sequencing and functional heterogeneity	20151222	-	197	Mouse	""	SMARTer	GSE63576	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
